district,avg_tourists
Adilabad,1
"Bhadradri Kothagudem",0
Jagtial,0
Jangaon,0
"Jayashankar Bhoopalpally",32
Kamareddy,0
Karimnagar,0
Khammam,0
"Komaram Bheem Asifabad",0
Mahabubabad,0
Mancherial,0
Medak,0
Mulugu,48
Nalgonda,0
Narayanpet,0
Nirmal,0
Nizamabad,0
Peddapalli,0
"Rajanna Sircilla",0
Sangareddy,0
Siddipet,0
Suryapet,0
Wanaparthy,0
"Warangal (Rural)",8
"Yadadri Bhongir",0
Hyderabad,21769
"Jogulamba Gadwal",24
Mahbubnagar,48
Nagarkurnool,20
"Warangal (Urban)",184
