Source,district,month,year,visitors
domestic,Adilabad,January,2016,792136
domestic,Adilabad,February,2016,937820
domestic,Adilabad,March,2016,582946
domestic,Adilabad,April,2016,341948
domestic,Adilabad,May,2016,252887
domestic,Adilabad,June,2016,368237
domestic,Adilabad,July,2016,447562
domestic,Adilabad,August,2016,614285
domestic,Adilabad,September,2016,491279
domestic,Adilabad,October,2016,94184
domestic,Adilabad,November,2016,99148
domestic,Adilabad,December,2016,53125
domestic,Adilabad,January,2018,320356
domestic,Adilabad,February,2018,36550
domestic,Adilabad,March,2018,23011
domestic,Adilabad,April,2018,14183
domestic,Adilabad,May,2018,8197
domestic,Adilabad,June,2018,12052
domestic,Adilabad,July,2018,24666
domestic,Adilabad,August,2018,38939
domestic,Adilabad,September,2018,25875
domestic,Adilabad,October,2018,30257
domestic,Adilabad,November,2018,49181
domestic,Adilabad,December,2018,61476
domestic,Adilabad,January,2017,318799
domestic,Adilabad,February,2017,83316
domestic,Adilabad,March,2017,27508
domestic,Adilabad,April,2017,13946
domestic,Adilabad,May,2017,11752
domestic,Adilabad,June,2017,26859
domestic,Adilabad,July,2017,52386
domestic,Adilabad,August,2017,34876
domestic,Adilabad,September,2017,42699
domestic,Adilabad,October,2017,41666
domestic,Adilabad,November,2017,117322
domestic,Adilabad,December,2017,54251
domestic,Adilabad,January,2019,25071
domestic,Adilabad,February,2019,406177
domestic,Adilabad,March,2019,14347
domestic,Adilabad,April,2019,9972
domestic,Adilabad,May,2019,6997
domestic,Adilabad,June,2019,9161
domestic,Adilabad,July,2019,11791
domestic,Adilabad,August,2019,108173
domestic,Adilabad,September,2019,37589
domestic,Adilabad,October,2019,38184
domestic,Adilabad,November,2019,70344
domestic,Adilabad,December,2019,38089
domestic,Bhadradri Kothagudem,January,2016,450020
domestic,Bhadradri Kothagudem,February,2016,450020
domestic,Bhadradri Kothagudem,March,2016,450020
domestic,Bhadradri Kothagudem,April,2016,450020
domestic,Bhadradri Kothagudem,May,2016,450020
domestic,Bhadradri Kothagudem,June,2016,450020
domestic,Bhadradri Kothagudem,July,2016,450020
domestic,Bhadradri Kothagudem,August,2016,450020
domestic,Bhadradri Kothagudem,September,2016,450020
domestic,Bhadradri Kothagudem,October,2016,310133
domestic,Bhadradri Kothagudem,November,2016,252127
domestic,Bhadradri Kothagudem,December,2016,326770
domestic,Bhadradri Kothagudem,January,2018,421275
domestic,Bhadradri Kothagudem,February,2018,240634
domestic,Bhadradri Kothagudem,March,2018,421275
domestic,Bhadradri Kothagudem,April,2018,341258
domestic,Bhadradri Kothagudem,May,2018,291273
domestic,Bhadradri Kothagudem,June,2018,290512
domestic,Bhadradri Kothagudem,July,2018,220304
domestic,Bhadradri Kothagudem,August,2018,219548
domestic,Bhadradri Kothagudem,September,2018,334878
domestic,Bhadradri Kothagudem,October,2018,322974
domestic,Bhadradri Kothagudem,November,2018,253464
domestic,Bhadradri Kothagudem,December,2018,442483
domestic,Bhadradri Kothagudem,January,2017,302315
domestic,Bhadradri Kothagudem,February,2017,251359
domestic,Bhadradri Kothagudem,March,2017,243943
domestic,Bhadradri Kothagudem,April,2017,667459
domestic,Bhadradri Kothagudem,May,2017,311626
domestic,Bhadradri Kothagudem,June,2017,351742
domestic,Bhadradri Kothagudem,July,2017,258114
domestic,Bhadradri Kothagudem,August,2017,316438
domestic,Bhadradri Kothagudem,September,2017,381784
domestic,Bhadradri Kothagudem,October,2017,334504
domestic,Bhadradri Kothagudem,November,2017,281515
domestic,Bhadradri Kothagudem,December,2017,393518
domestic,Bhadradri Kothagudem,January,2019,283365
domestic,Bhadradri Kothagudem,February,2019,229159
domestic,Bhadradri Kothagudem,March,2019,225448
domestic,Bhadradri Kothagudem,April,2019,349585
domestic,Bhadradri Kothagudem,May,2019,275800
domestic,Bhadradri Kothagudem,June,2019,9761776
domestic,Bhadradri Kothagudem,July,2019,233338
domestic,Bhadradri Kothagudem,August,2019,271941
domestic,Bhadradri Kothagudem,September,2019,314199
domestic,Bhadradri Kothagudem,October,2019,287432
domestic,Bhadradri Kothagudem,November,2019,298366
domestic,Bhadradri Kothagudem,December,2019,287328
domestic,Hyderabad,January,2016,1122510
domestic,Hyderabad,February,2016,778748
domestic,Hyderabad,March,2016,1017794
domestic,Hyderabad,April,2016,1127738
domestic,Hyderabad,May,2016,1287181
domestic,Hyderabad,June,2016,12032661
domestic,Hyderabad,July,2016,1096754
domestic,Hyderabad,August,2016,1061137
domestic,Hyderabad,September,2016,832987
domestic,Hyderabad,October,2016,901960
domestic,Hyderabad,November,2016,909733
domestic,Hyderabad,December,2016,1225502
domestic,Hyderabad,January,2018,1978396
domestic,Hyderabad,February,2018,1365837
domestic,Hyderabad,March,2018,1415938
domestic,Hyderabad,April,2018,1586375
domestic,Hyderabad,May,2018,1189492
domestic,Hyderabad,June,2018,1595067
domestic,Hyderabad,July,2018,1470042
domestic,Hyderabad,August,2018,1591470
domestic,Hyderabad,September,2018,1508086
domestic,Hyderabad,October,2018,2207478
domestic,Hyderabad,November,2018,1671320
domestic,Hyderabad,December,2018,1964150
domestic,Hyderabad,January,2017,1924695
domestic,Hyderabad,February,2017,1886698
domestic,Hyderabad,March,2017,1783903
domestic,Hyderabad,April,2017,2366793
domestic,Hyderabad,May,2017,2266793
domestic,Hyderabad,June,2017,2007060
domestic,Hyderabad,July,2017,1890870
domestic,Hyderabad,August,2017,1976980
domestic,Hyderabad,September,2017,2011280
domestic,Hyderabad,October,2017,2202316
domestic,Hyderabad,November,2017,1971438
domestic,Hyderabad,December,2017,4871416
